1284  CHVC  08 00.0  -70 49    258    57    19     33    0.2    0.1   80       0.37    0.65   0.42       46.5
1308  CHVC  08 50.1  -70 00    205     1   -42     33    0.4    0.2   30       2.20    1.74   1.11      491.4
1309   HVC  08 51.4  -70 04    127   -77  -120     30    0.2    0.2  -30       0.24    0.11   0.06        5.5
1320   HVC  09 08.6  -70 23    121   -83  -127     28    0.2    0.1   20       0.25    0.18   0.11       10.6
1326  CHVC  09 13.6  -70 38    218    15   -30     45    0.3    0.2  -30       0.74    0.32   0.27       55.0
1423  CHVC  11 31.4  -70 34    311   116    59     34    0.2    0.2  -40       0.44    0.15   0.10       19.0
1441  CHVC  11 49.3  -70 34    342   150    91     37    0.3    0.2   10       1.68    0.40   0.28      124.6
1467   HVC  12 13.9  -70 31    313   124    63     44    0.2    0.1  -10       0.48    0.12   0.14       27.4
1593  CHVC  23 33.4  -70 33    231   116    91     31    0.2    0.2   30       0.32    0.26   0.15       18.3
1600   HVC  23 28.6  -70 58    124     8   -18     47    0.3    0.2   60       0.49    0.12   0.09       21.5
1646   HVC  15 49.2  -70 00     99   -47  -111     29    0.2    0.2   30       0.13    0.10   0.05        4.3
1649  CHVC  16 01.4  -70 31    168    23   -39     32    0.3    0.1   40       0.44    0.16   0.10       17.5
1658  CHVC  16 14.4  -70 39    148     6   -56     31    0.2    0.1   20       0.14    0.13   0.08        5.9
1687   HVC  17 17.9  -70 22    131     1   -58     36    0.3    0.3  -60       0.58    0.17   0.11       27.8
1695   HVC  17 35.2  -70 13     87   -38   -96     40    0.3    0.2   50       0.24    0.08   0.06        7.6
1232   HVC  05 59.4  -69 59    102   -86  -113     34    0.3    0.2   80       0.35    0.13   0.08       13.3
1239   HVC  07 07.2  -69 47    332   134   102     35    0.4    0.3  -80       0.49    0.15   0.12       32.7
1269   HVC  07 58.4  -69 50    145   -58   -95     44    0.3    0.1  -90       0.13    0.06   0.05        4.4
1270   HVC  08 19.7  -69 01    118   -87  -126     33    0.4    0.3  -80       0.73    0.22   0.13       40.0
1279   HVC  08 30.0  -69 13    142   -62  -103     40    0.9    0.4  -80       0.12    0.08   0.06        5.7
1299   HVC  08 38.0  -69 58    250    46     5     33    0.2    0.2  -10       0.19    0.14   0.10       11.7
1311   HVC  09 02.7  -69 35    113   -92  -136     28    0.4    0.2  -40       0.48    0.17   0.09       18.5
1335   HVC  09 41.7  -69 40    271    67    19     45    0.2    0.2   40       0.48    0.14   0.13       27.1
